Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
E prome dia di trabou pa aña 2020 pa tur departamento lo ta diabierna 3 di januari	The first working day for government employees in 2020 is set on Friday, January 3, 2020
Servicio di GKMB a ricibi mashin di fumigacion nobo	The GKMB has received new fumigation equipment
Gele Koorts en Muskieten Bestrijding a ricibi ayera dos mashin nobo pa combati sangura	The Department Yellow Fever and Mosquito Prevention (GKMB) has received two new fumigation machines to combat mosquitos
Esaki ta un inversion di mas of menos 45 mil florin cu Minister di Salubridad Publico a haci pa por sigui combati y preveni malesanan transmiti door di sangura	The Minister of Public Health invested about Afl. 45000 for these 2 fumigation machines in order to help battle the mosquitos in Aruba
E mashinnan ta di marca Igeba cu ta produci na Alemania y DAL pestcontrol, cu ta nan agencia na Aruba a entrega esaki	These machines are German build by manufacturer Igeba and have been delivered by their dealer in Aruba DAL pest control
Ta trata aki di dos aparato di cual e prome mashin ta un ULV (Ultra Low Volume) aerosol generator	One of the fumigators is a ULV (Ultra Low Volume) aerosol generator
E mashinaki ta uza volumen halto di aire na un presion abou pa transforma pesticida likido den drupelsnan cu por distribui den admosfera	This uses high air volumes in a low pressure to convert the liquid pesticide into fine mist to be better sprayed
E di dos mashin ta un Thermal fogger cual por produci gran cantidad di huma di pesticida cu ta uza pa fumigacion	The second machine is a Thermal Fogger which creates a high volume of pesticide smoke for fumigation
Lo uza ambos aparato ora tin hopi molester di sangura den e barionan of ora tin alerta di brote di malesanan transmiti door di sangura manera por ehempel Dengue, Zika y Chikungunya	These machines will be used when there is an up rise of mosquitos in residential areas due to rain or when there is an elevated threat of mosquito-borne illnesses like Dengue, Zika and Chikungunya
Por uza ambos mashin tambe pa combati e sangura preto cu ta sangura di mangel, comun den e area di Savaneta y Pos Chikito	These machines can also be used to combat the black mosquitos in mangroves that are commonly seen in Savaneta and Pos Chkito
Cu yegada di e dos mashinnan aki e personal di GKMB ta hopi contento pasobra nan por sigui eherce nan trabou, solamente awo den tempo mas cortico y nan ta bon ekipa y prepara pa cualkier eventualidad riba e tereno di combati sangura	The acquisition of these brand new machines will certainly be effectively used by the team of the GKMB as they can keep doing their job of combatting mosquitos quicker
Anuncia aumento di salario minimo y e limite di salario pa aplicacion di e Ordenansa Laboral 2013 entrante 1 januari 2020	Increase minimum wage and wage limit Labor Ordinance 2013 effective January 1, 2020
Ministerio di Asuntonan Social y Labor y Departamento di Labor y Investigacion ta anuncia aumento di salario minimo y e limite di salario pa aplicacion di e Ordenansa Laboral 2013 entrante 1 januari 2020	Ministry of Social Affairs and Labor and the Department of Labour and Research announces the increase in the minimum wage and income limit for the application of the Labor Ordinance 2013 as per January 1, 2020
E suma di salario minimo pa un empleado cu tin 18 aña di edad of mas ta wordo ahusta entrante 1 januari 2020 na Afl. 1.815,35 pa luna y Afl. 423,40 pa siman	The minimum wage of a worker who has reached the age of 18 years will be adjusted as per January 1, 2020, to Afl. 1.835,15 per month and Afl. 423,40 per week
Pa un empleado di 18 aña of mas cu ta haci trabou domestico den un residencia priva, e salario minimo ta bira Afl. 846,92 pa luna	For a domestic worker performing labor in a private residence, the minimum wage will be Afl. 846,92 per month
Pa e empleado domestico cu ta traha 22 ora of menos pa siman e suma di salario minimo lo bira Afl. 9,45 pa ora	For a domestic worker laboring 22 hours or less per week, the minimum wage will be Afl. 9,45 per hour
Como consecuencia di e ahustacion di e salario minimo e limite di salario pa aplicacion di e Ordenansa Laboral 2013 (Arbeidsverordening 2013) tambe lo subi entrante 1 di januari 2020	As a result of the minimum wage adjustment, the income limit for the application of the Labour Ordinance 2013 (Arbeidsverordening 2013) will also increase as per January 1, 2020
E Ordenansa Laboral 2013 ta e ley cu ta regla condicionnan di trabou manera entre otro e oranan maximo cu por traha pa dia of pa siman, dianan di sosiego, pago di overtime ora traha mas cu e máximo ora permisibel ariba un dia normal di trabou y pago di overtime riba dianan di fiesta	The Labour Ordinance regulates the working conditions such as the maximum working hours per day or week, rest days, overtime payments and payments on holidays
E Ordenansa Laboral no ta aplicabel pa tur trahado pero ta conta solamente pa trahadonan cu ta cai bou di e limite di salario	The Labour Ordinance does not apply to all workers, but only to those who fall under the income limit
E limite di salario nobo lo bira entrante 1 di januari 2020, e salario minimo (Afl. 1.815,35) x e factor 2.5= Afl. 4.538,38	The new income limit as per January 1, 2020, will be Afl. 4.538,38 (the minimum wage Afl. 1.815,35 x factor 2,5)
Esaki ta ensera cu trahadonan cu ta gana un salario di Afl. 4.538,38 pa luna of Afl. 54.460,56 pa aña of menos, ta cai bou di proteccion di e Ordenansa Laboral 2013 y tin derecho riba tur e condicionnan di trabou stipula den e ley aki	Workers who earn a monthly salary of Afl. 4.538,38 or an annual salary of Afl. 54.460,56 or less fall under the protection of the Labour Ordinance 2013 and are entitled to all the working conditions this law provides
Departamento di Labor y Investigacion ta pidi tur trahado y principalmente dunadonan di trabou pa tene bon cuenta cu e cambionan aki	The Department of Labour and Research kindly requests all workers, and in particular, all employers to take due note of this adjustment
10 tips tocante alimentacion durante dianan di fiesta	10 eating tips for the holiday season
Departamento di Salud Aruba ta duna algun tips pa come saludabel durante e dianan di fiesta	The Department of Public Health Aruba is providing 10 tips for healthy eating during the festive days
E temporada di Pasco y fin di aña ta un ocasion pa reuni cu famia y amigonan, e celebracionnan semper ta bay acompaña cu cuminda y snacks	The holiday season is an occasion for friends and family gatherings, that in most cases are filled with food and snacks
Cuminda di e temporada aki ta specialmente traha pa nos come hopi di dje of pa nos come mas biaha di dje durante dia	The holiday food is common to be prepared in bigger portions to be enjoyed in higher volume and more frequently during the day
Asina nos ta facilmente yega na, of surpasa e cantidad cu nos mag di come y esaki tin como consecuencia cu nos ta subi di peso y por causa malestar di stoma	During these days, most people surpass their daily food intake and eventually gain weight and causing an upset stomach
Nos ta come facilmente 3 biaha mas cu lo normal y esey ta traduci na aproximadamente 6000 kcal pa dia	It is not unusual that the caloric intake during these days can be at least 3 times (around 6000 calories) the normal daily intake
Imagina cu den combinacion di falta di actividad fisico nos por subi 1kg cada 2 pa 3 dia durante e temporada aki	This in combination with less than usual physical activity may result in a weight gain of 1 kg per every 2 - 3 days
No solamente e cuminda den exceso ta e ‘problema’ tambe e cantidad aumenta di sucu y vet den e cuminda y bebida ta menos saludabel	The excess food intake is not the only culprit, but also the increased amount of sugar and fat intake in the food and drinks we consume
Ta importante pa mantene un alimentacion balansa durante henter e aña, pa cualkier festividad	Eat balanced food year-round even during festive occasions
Percura pa come suficiente fruta cu berdura hunto cu tur e otro cuminda pa asina no falta vitamina, mineral y fibra cu ta esencial pa nos salud	Eat sufficient fruits and vegetables with any other meals to balance the vitamins, minerals and fiber intake essential to your body
Mantene oranan fiho di tempo di cuminda	Eat at regular hours
No salta un cuminda, pero intercambia esaki cu un snack saludabel (fruta, yoghurt abou den vet of crackers integral) prome cu un cuminda grandi di fiesta	Do not skip meals, but replace these with healthy snacks like fruits, low-fat yogurt or integral crackers before any big “festive” meals
Tene na cuenta e porcionnan di cuminda	Control meal portions
Por ehempel ora di come estilo buffet ta duna oportunidad pa controla e cantidad di e cuminda y porcion di alimento	At buffets keep the portions moderate
Yena mita tayo cu salada y berdura, 1/4 cu e carni of pisca y 1/4 cu aros, batata of pasta	scoop half your plate with vegetables and salads, 1/4 with meats or seafood and 1/4 with rice, potatoes or pasta
Scoge of cushina e alimentonan cu un forma di preparacion mas saludabel ora di come afor	Choose or cook the healthiest option when planning on eating out
Algun forma ta horna, den un panchi cu tiki azeta so, herbi, gesteamed, etc	This may include cooking in the oven, a skillet with very little cooking oils, boiling or steaming, etc
Pa salada pone e dressing na banda y scoge uno di un base ‘clear’ enbes di un di crema	Choose clear salad dressings for your salads instead of the creamy dressings
esaki ta conta pa sopi tambe	This is also valid for soups
Reduci e cantidad di bebidanan cu sucu of alcohol	Avoid high sugary drinks and alcoholic beverages
Bebe 1 of 2 refresco of juice y e durante e resto di dia bebe suficiente awa	Drink 1 or 2 sodas or juices and water during the rest of the day
Come poco poco y kauw bon	Eat slow and chew properly
Segun investigacion ora nos come consciente nos ta sinti yen mas lihe y nos ta come menos	Studies show that slow eating makes you feel full quicker and makes you eat less
Sin laga afo cu nos ta disfruta mas di e cuminda y nos curpa ta probecha miho di e nutrientenan	This way you will enjoy the meal better while your body takes advantage of the nutrients
No stop cu actividad fisico	Do not halt any physical activity
Stop di come ora bo ta sinti yen	Stop eating once you feel full
No come forsa pero pidi pa hiba e cuminda cas pa come un otro dia of comparti cu un otro hende	Do not force yourself to eat more, but rather ask to take out the meal to be consumed the next day or shared with others
Tambe por nenga cuminda of snack dunando un compliment: “e ta mustra hopi dushi pero mi ta hopi yen”	Skip the food by telling politely “it looks good but I am full"
Prepara cuminda y snacks na cas den un forma mas saludabel	Prepare healthier food and snacks
Enbes di uza hopi mayonaise uza of combina esaki cu yoghurt pa preparacion di salada	Instead of using high amounts of mayonnaise, combine this with yogurts for salads
Usa forma di cushina manera horna, den un panchi cu tiki azeta so, herbi, gesteamed, etc	Cook in the oven, a skillet with minimum oils, boil or steam, etc
Come y disfruta di e cuminda festivo pero controla e frecuencia y cantidad	Eat and enjoy the holiday meals but with moderation
No mester sinti culpbel despues di a come un cuminda festivo pero si ta importante pa actua cu moderacion	There is no need to feel guilty after the holiday meals if you eat in moderation
Macutu di compras 21 di december 2019	Price comparison December 21, 2019
Regularmente Departamento di Asunto Economico ta haci un observacion di prijs den diferente supermercado na Aruba y ta publica esaki den corantnan local	The Department of Economic Affairs regularly carries out price comparison in various supermarkets on Aruba and publishes this information in the local newspapers
E meta ta pa yuda e consumidor haya un comparacion di prijs di diferente producto basico	The purpose of this price observation is among others to give the consumer an overview of the price differences of various basic consumer goods on the island
Den e documento adhunto “macutu di compras 21 di december 2019” por mira e observacion di prijs cu a tuma luga entre 17 y 18 di december 2019	In the attached document "macutu di compras December 21, 2019" you will find the price comparison that was made on December 17 and 18, 2019
Consulta di mercado como e siguiente paso den desaroyo di Port City Oranjestad	Market consultation as the next step in Port City Oranjestad development
Aruba Ports Authority (APA) ta anuncia cu transformacion di e area di terminal di carga bieu cerca di e terminal di crucero di Oranjestad den un area de recreacion, residencia y comercio, ta drentando den un fase nobo	Aruba Ports Authority (APA) announces that the transformation of the former cargo terminal area near the cruise terminal of Oranjestad into new leisure, residential and commercial area is entering a new phase
Na februari 2019, gobierno di Aruba a aproba e plan di desaroyo urbano pa e proyecto aki, yama apropiadamente Port City Oranjestad	In February 2019, the Aruban government approved the urban development plan for this project, appropriately named Port City Oranjestad
APA lo otorga e prome parcelanan pa construccion na 2020 y p’esey, ta invita e participantenan di mercado pa presenta nan deseo y idea den un consulta di mercado	APA will issue the first building lots in 2020 and is, therefore inviting market participants to submit their wishes and ideas in a market consultation
Cu desaroyo di Port City Oranjestad, APA y gobierno di Aruba tin intencion di trece una transformacion di e area, door di proporciona un combinacion atractivo di bida y trabou cu lo contribui positivamente na desaroyo di Aruba	With the development of Port City Oranjestad, APA and the Aruban government intend to bring a transformation to the area, providing an attractive combination of living and working that positively contributes to the development of the island of Aruba
Port City Oranjestad lo actua como un magneet tanto pa e residentenan como turista, cu un variedad di programa di uzo mixto cu ta inclui hotel boutique, oficina y facilidadnan pa conferencia, apoyo na F&B y tienda, recreacion y vivienda	Port City Oranjestad is to act as a magnet for residents and tourists alike, with a variety of mixed-use programs including boutique hotels, offices & conference facilities, supporting F&B & retail, recreation as well as residential housing
E plan di e proyecto di Port City Oranjestad tambe ta inclui un parke publico dilanti di lama entre e terminal di crucero y e beach di Bushiri	The Port City Oranjestad project plan also includes a public waterfront park between the cruise terminal and Bushiri Beach
Henter e area ta midi 20 hectarea, di cua 12 hectarea ta destina pa espacio publico y 8 hectarea pa desaroyo di real estate comercial	The entire area measures 20 hectares, of which 12 hectares are intended for public space and 8 hectares for commercial real estate development
Ta calcula cu e inversion total ta aproximadamente 575 miyon dolar mericano den e proximo 10 pa 20 aña, cu un inversion estima di aproximadamente 500 miyon di dolar mericano cu ta bin di inversionista priva y desaroyadornan	The total investment is estimated at approx. 575 million US Dollars over the next 10 to 20 years, with an estimated investment of approximately 500 million US Dollars coming from private investors and developers
APA ta buscando desaroyador y consorcio cu tin experiencia den financiamiento conhunto y desaroyo di parcelanan similar, desde e diseño te su finalisacion y cu tambe ta inclui operacion di esaki	APA is looking for developers and consortia that have experience in joint financing and development of similar plots, from design to completion including operation
Ademas, APA kier utiliza e consulta di mercado aki para obtene un idea di e rekisitonan y deseonan di e usuarionan final y e operadornan, meta di esaki ta pa garantisa cu e oferta y demanda ta den ekilibrio ora haci e invitacion formal pa e destaho	Additionally, APA wants to use this market consultation to gain insight into the end-users' and operators 'requirements and wishes, to ensure that supply and demand are balanced when the formal invitation for tenders takes place
Lo otorga y desaroya e parcelanan di e zona den fase	The plots of the area will be issued and developed in phases
E consulta di mercado ta enfoca mas tanto riba e parcelanan na e parti west, cerca di e beach di Bushiri	This market consultation is focused on the most western plots, adjacent to Bushiri Beach
Un mihor comprension di e deseonan y ambicion lo permiti apoya e demanda di e mercado	A better understanding of these wishes and ambitions allows us to support market demands
APA ta haci un yamado na e desaroyadonan di proyecto, operador di hotel y tur esnan interesa den Port City Oranjestad pa duna APA nan comentario	We call on project developers, hotel operators and other parties that have an interest in Port City Oranjestad to provide us with their input
E desaroyo e area ta enfoca riba sostenibilidad y interes di nos poblacion local, ya cu ta desea di crea un area cu por beneficia Aruba den e proxima decadanan	The area is to be developed with a focus on sustainability and the interests of the local population, as we want to create an area that can benefit Aruba for the decades to come
E plan di desaroyo urbano di Port City Oranjestad ta resultado di un colaboracion estrecho entre APA y Ministerio de Turismo, Salud Publico y Deporte, hunto cu Departamento di Infrastructura y Planificacion (Directie Infrastructuur en Planning, DIP), Departamento di Obra Publico (Dienst Openbare Werken, DOW), Aruba Tourism Authority(ATA), como tambe e Port of Amsterdam International den su rol di consehero	The Port City Oranjestad urban development plan is the result of a close collaboration between APA and the Ministry of Tourism, Public Health and Sports, together with the Directorate for Infrastructure and Planning (Directie Infrastructuur en Planning, DIP), the Public Works Authority (Dienst Openbare Werken, DOW), the Aruba Tourism Authority (ATA), as well as Port of Amsterdam International in an advisory capacity
Pa mas informacion tocante e consulta di mercado y e documentonan relaciona, por bishita	For more information about the market consultation and the underlying documents thereof, please visit
Aumento Pensioen di biehes, viuda/viudo y huerfano	Increase in general pension
Banco di Seguro Social (SVB) ta informa cu Conseho di Minister, riba proposicion di Minister di Turismo, Salud Publico y Turismo Dangui Oduber, a dicidi di aumenta pensioen di biehes di siguiente forma entrante 1 di januari 2020	The Social Security Bank (SVB) announces that by the decision of the Council of Ministers, the pensions will be increased based on the proposal of the Minister of Tourism Public Health and Sport, Mr. Dangui Oduber, Effective January 1 2020
Pensioen pa soltero ta aumenta di Afl. 1.132,- pa Afl. 1.157,- florin	the retirement pension for unmarried people will increase from Afl. 1,132 to Afl. 1.157,00
Pensioen pa pareha ta aumenta di Afl. 1.906,- pa Afl. 1.948,- florin	the retirement pension for married couples will increase from Afl. 1,906 to Afl. 1.948,00
Pensioen dividi pa pareha ta aumenta di Afl. 953,- pa Afl. 974,- florin	the individual pension for married people will increase from Afl. 953 to Afl. 974,00
Pensioen pa huerfano y vuido ta keda adapta cu e mesun porcentahe	the orphan's and widow's pension is increased by the same percentage
Ta recorda cu pensioen pa e luna di januari 2020 ta keda paga dia 27 di december 2019	As a reminder, the pension for January 2020 is paid on December 27, 2019
Cobransa adicional di winstbelasting 2014 lo sali den e proximo dianan	The tax office will soon mail the additional tax assessment on profit tax 2014
E contribuyentenan cu no a cumpli (na tempo) cu e pago di e declaracion definitivo di winstbelasting 2014, lo haya e cobransa menciona inclui un boet	Clients that did not pay their definite profit tax declarations for 2014 in due time will receive the tax assessment including a fine
Mescos ta conta si acaso e cliente a paga un suma menos cu locual el a declara na winstbelasting	The same applies to clients who paid an amount not equivalent to the declared profit tax amount
Si no a haci e pago di winstbelasting of no a haci e pago na tempo y corectamente, e boet ta maximo Afl. 10.000	The fine for not making any profit tax payments or late or incomplete payments can be up to AWG. 10.000
Riba 17 di december 2019 ta cuminsa acepta pago di impuesto di vehiculo di motor 2020	Clients can pay their vehicle tax starting December 17, 2019
Departamento di Impuesto ta informa cu riba diamars, dia 17 di december 2019, nan ta cuminsa acepta pago di impuesto di vehiculo di motor di aña 2020	The Tax Department is announcing that they will be accepting payments for Vehicle Tax 2020 on December 17, 2019
Tarifa di impuesto y gasto di plachi	Vehicle Tax rate and license plate
E tarifa di impuesto di vehiculo di motor di aña 2020 a keda mescos cu aña 2019	The vehicle tax rate for 2020 remains the same as in 2019
Pa plachi di nomber e tarifa ta Afl. 600 pa auto priva cu motor di gasolin y pa auto priva cu motor diesel e tarifa ta Afl. 1.000	The custom license plate is Awg. 600,00 for personal gasoline vehicles and Awg. 1000,00 for personal diesel cars
E gastonan ta Afl.12 pa e plachi grandi y Afl. 8 pa e plachi chikito	The large license plate is Awg.12,00 and the small license plate is Awg. 8,00
Pago den un of dos biaha pa aña	Payments in installments
Pa e siguiente categorianan di number mester paga e impuesto den un solo biaha: D, AG, BR, GAR, MFA, MFD, MFV y plachi di nomber	For all vehicles with the license plate in the following categories: D, AG, BR, GAR, MFA, MFD, MFV, have to pay in full including the license plate fees
Pa tur otro categoria por scoge pa paga e impuesto den un of dos biaha	For all other categories, payments can be in full amount or 2 installments
E termino di pago di e prome mita di aña 2020 (januari-juni) ta caduca dia 31 di januari 2020	The first term for 2020, (January to June 2020) is due on January 31, 2020
E termino di pago di e di dos mita di aña (juli-december) ta caduca dia 30 di juni 2020	The second half’s term (July-December) is due on June 30, 2020
Haci pago	Making payments
Por haci pago online via banco of na tur oficina di Departamento di Impuesto, pues tanto na oficina principal na Camacuri of un oficina den districto (MFA's)	Clients can pay by online bank transfer or at any office of the Tax Department, the main building and all MFA’s
Ta bon pa tene na cuenta cu no ta posibel pa paga e impuesto di aña 2020, si no a paga e impuesto di aña 2019 of di aña nan anterior	Clients cannot pay their vehicle tax for 2020 if the vehicle tax for 2019 or any previous year is not paid
Pago via banco	Bank payments
E contribuyentenan cu ta paga via banco mester menciona e impuesto di vehiculo di motor (“MB”) , persoonsnummer, e periodo di pago y e number di plachi	Bank payments should include the “MB” number, tax number (persoonsnummer), the payment term being paid, and the license plate number
E secuencia cu cliente mester yena e informacion online ta lo siguiente; MB-persoonsnummer-periode-nummerplaat 	The sequence the online form has to be filled; MB-persoonsnummer-term-license plate number
Si e contribuyente ta bay paga mas cu 1 number via banco, e mester haci un transaccion di pago separa pa cada number	In the event vehicle tax is being paid for multiple vehicles online, each transaction needs to be individual
No mag di paga un solo suma den un solo transaccion, debi cu esaki lo trece tardansa ora di procesa e pago	Payment of one amount in one transaction for multiple vehicles is not allowed since it will delay the processing of the paid vehicle tax
Ora di paga via banco, mester inclui e suma di gasto di plachi tambe	Online payments should also include the amount for the license plate
Si paga solamente e tarifa di impuesto, e cliente no lo por ricibi su plachinan	If only paying the vehicle tax and not the license plate fee will result in the customer not receiving the new license plates
Plach’i number	License Plate
E color di e plachinan di number di aña 2020 ta fondo blanco y cifra/letter cora	The 2020 license plates will be white with red numbers/letters
Plachi di nomber	Custom license plate
E plachinan di nomber lo ta disponibel caba despues di dia 10 di januari 2020	The custom license plates will be available on January 10, 2020
E contribuyentenan cu ta desea un plachi di nomber (cliente nobo) mester registra e plachi dia 3 di januari 2020 y haci e pago corespondiente na Departamento di Impuesto mes	New customers that want a custom license plate should complete the registration on January 3, 2020, and should complete the payments at the Tax Department
Despues di pago, e contribuyente lo ricibi un carta, cual e lo entrega na e compania indica pa laga traha e plachinan	Once payment is processed, a letter will be sent to the company in charge of making the license plate
Lo avisa e contribuyente ki dia e lo por pasa busca su plachinan	Once the custom license plate is complete, the customer will be notified that it can be picked up
E contribuyentenan cu ya caba tin un plachi di nomber , por haci pago na Departamento di Impuesto of banco	Those who already have a custom license plate can complete their vehicle tax payments online, bank or at any of the offices of the Tax Departments
E contribuyentenan cu a paga via banco lo mester busca e carta na e oficina anexo di Departamento di Impuesto na Camacuri	Customers who paid at the bank should pick up their letter at the annex building of the Tax Department in Camacuri
No ta bay laga traha e plachinan di nomber delanta	No custom license plate will be made in advance
Despues cu e cliente haci e pago di impuesto, e ora lo bay duna e carta cu e ordo pa laga traha e plachinan di nomber	only when payment has been received, the custom license plate will be made
Seguro valido	Valid insurance
Departamento di Impuesto ta recorda tur automobilista, cu na momento di busca plachi di number, lo controla e comprobante original di seguro di auto	As a reminder, the Tax Department emphasizes that the new license plates can only be received with the original proof of valid car insurance
Si e seguro no ta original y/of no ta valido, e cliente lo no ricibi su plachinan di number	Without the original proof of insurance, no license plate will be given
Departamento di Impuesto ta recomenda pa haci e pago mas lihe posible mirando cu e cantidad di automobilistanan ta grandi	The tax department urges everyone to complete their vehicle tax payments as early as possible due to the enormous amount of vehicles that need the new license plates
No ta recomendabel pa warda te na ultimo momento	It is not recommended to wait until the last minute
Departamento di Cultura Aruba (DCA) ta cera pa dianan di fiesta	Department of Cultura Aruba (DCA) closed for the holidays
Departamento di Cultura Aruba (DCA) ta participa cu en conexion cu dianan di fiesta su oficina lo ta cera riba dianan di fiesta for di 23 december 2019 te cu 3 di januari 2020	The Department of Culture of Aruba (DCA) announces that its office is closed on the holidays, from December 23, 2019 to January 3, 2020
DCA lo habri bek pa publico riba dialuna 6 di januari 2020 den su orario di oficina	DCA will resume its activities on Monday, January 6, 2020
Ta pidi disculpa pa cualkier inconveniencia cu esaki por causa	DCA offers its excuses for any inconvenience this may cause
Director, staf y personal di DCA ta desea henter e pueblo di Aruba un dushi Pasco di Nacemento y un feliz Aña Nobo 2020 yena cu salud, creatividad, prosperidad y alegria	The director, staff, and personnel of DCA wish the Aruban community a Merry Christmas and a Happy New Year 2020 filled with health, creativity, and happiness
Ban celebra y apoya nos tradicion di fin di aña, nos festivalnan di Dande den union familiar	Let celebrate and support our New year ‘s Eve traditions, our Dande festivals united as a family
Cultura ta nos y ta nos ta cultura	Culture is us and we are culture
Ciere di fin di aña na biblioteca	Changed opening hours library due to the holiday
Biblioteca Nacional Aruba ta anuncia cambio di orario pa e dianan di fiesta	In connection with the holidays, the National Library announces its changed opening times
Biblioteca National na Playa y sucursal na San Nicolas lo ta cera dialuna 23 di december 2019 te cu diabierna 3 di jauari 2020	The library in Oranjestad and San Nicolas will be closed from Monday, December 23, 2019, to Friday, January 3, 2020
Biblioteca lo ta habri normal dia 6 di januari 2020	From January 6, 2020, the library will resume its activities
Departamento Recurso Humano lo ta cera pa dianan di fiesta	Departamento Recurso Humano (DRH) closed for the holidays
Departamento Recurso Humano (DRH) ta informa cu nos lo ta cera dia 23 di december 2019 te cu  3 di januari 2020	The Department of Human Resources (Departamento Recurso Humano -DRH) announces that due to the holidays, its office will close from December 23, 2019, till January 3, 2020
DHR lo ta habri bek pa publico dialuna dia 6 di januari 2020	The DRH will resume its activities on Monday, January 6, 2020
Tur persona cu ta desea un verklaring y/of ta desea pa entrega formulario pa loonbelastingvermindering por haci esaki te cu diabierna dia 20 di december 2019	Customers who require a declaration and/ or wish to submit a wage tax reduction form will have until Friday, December 18, 2019 the opportunity to do so
Manera custumber diaranson (18 december 2019) DRH lo ta cera desde di 12’or pa publico	As customary, the DRH will be closed on Wednesday, December 18 at noon
